AI CLUB / TECH TEAM SPRING 2026 TERM CALENDAR tech team,,,,,,,,,,
,,,,,,,,,,
Dates,Week,Monday (Dream Lab),Tuesday (Willow Room),Wednesday (General Meeting Lillis 132) 6-7,Thursday (Dream Lab),Friday (Exec only Lilis ENTR),Homework & Deadlines,,Color Code,
Mar 30 – Apr 05,1,,OG Tech Team : in entr? start on benchmarking project,"General Club Meeting
(regular programming) (maggie to fill vibe coding workshop and codex comp)",OG Tech Team benchmarking second meeting,1 to 2,close aps friday. start sending invites to interview. current tech team inital progress on Open AI proj,,"Tech Team: Blue
Capital Team: Green
Events: Orange
Non-mandatory: Grey
General: Black
Media Team: Purple
Exec: Red",
Apr 06 – Apr 12,2,"Room is available at least 5 to 8pm for you to work in

6-7 Standup on Progress and new week assignments for Benchmarking Project



Membership agreement signed by og members","Room is available at least 5 to 8pm for you to work in
",General Club Meeting (Anthropic),"Room is available at least 5 to 8pm for you to work in
",Decisions out,"• Week 2 tasks completed
• Begin on summer job assignment from Maggie (set aside at least 5 hours)",,,
Apr 13 – Apr 19,3,"Scavenger hunt + Term Overview (TBD TIME AND PLACE) 7:30 current tech team needs to be at maggies. 
• What it means to be on tech team
• Sign membership agreement
• Overview of 10-week structure
• Introduce mentor system","""Talk the Talk"" Workshop (2hrs) 7 - 9:30 pm room open at 5
• 1hr lecture ? 30min dinner/mingle ? 1hr lecture
• Vocab, mechanics, history (modern focus from ~2017)
• Transformers, pre-training, post-training, reasoning
• LLM model types, benchmarks intro",General Club Meeting (Open AI),"Vibe coding lab 5:30 - 6:30

Work session 5- 8pm


Capital Team Lecture: How Money Moves 6:30-7:30pm",,"• Membership agreement signed by new members
• Maggie finalizes mentor assignments (mentor understands their responsibility in helping this new member ""pass"" and feel included in group)                                                                                                • Homework begins with study mode on platform
• Week 3 tasks complete
",,,
Apr 20 – Apr 26,4,"

5 - 6 Meeting with Philip J. Fisher and Bruce (Dean of Lillis)
LinkedIn: https://www.linkedin.com/in/philipjfischer/","Lunch Meeting 12 - 1
Mechanics & Economics + Frontier/Future/Agents 7 - 9
• Scaling laws, compute economics
• LLMs vs agents (key distinctions on important topics)",General Club Meeting (Starbucks),"Chatbot building workshop / lab (Alex) 5:30 - 6:30 


Capital Team Lecture: The Language of Business, Financials 6:30 - 7:30",First runs on benchmark should be doable,"• Assignment deploy project and document learnings on vibe coding best practices
• Weekly quiz on platform
• Final prep (and office hours session) for Week 5 test",,,
Apr 27 – May 03,5,Capital Team Kickoff 6 - 7 pm,"Debate +  Test 6 - 9 (tbd this might be divided og and new members)
• Part 1: Socratic Debate (""Who is the current AI leader?"" / ""What will AI look like in a year?"")                                    
WRITTEN TEST (in-person, all recruits)
• Immediately after warm-up discussion
• Pass mark: TBD%
• Fail = retry next term, ineligible for projects/trips",General Club Meeting (Databricks),"




Capital Team Lecture: The AI Capital Stack 6- 7 ",,,,,
May 04 – May 10,6,"Rewards 6 -7
• RL for LLMs reward processes, RLHF, how labs are doing it","Multimodality 6 -7
",General Club Meeting (Greg Heibel),"Project work session 6-8 




Capital Team Lecture + Workshop: Thesis Construction 6 - 7",,,,,
May 11 – May 17,7,"Project Onboarding
• Recruits assigned to live projects as observer can begin taking on tasks
• Meet project leads, understand scope
• Light week (breathing room after tests)","Track-Specific Workshop
• TECHNICAL: How to stay up to date / read research papers / filter hype (final technical sign-off)
• NON-TECHNICAL: Building professional consulting slide decks (2-3hrs) (thara to lead… maybe this goes earlier?)",General Club Meeting (Space X),,,"• Get oriented on assigned project
• Mentor check-in + progress feedback",,,
May 18 – May 24,8,NYC,NYC,d,Project work session / NYC trip,NYC,"• Project contributions
• Mentor check-in",?? NEW YORK TRIP (targeting this week),,
May 25 – May 31,9,,,General Club Meeting (Snapchat),"Project work session 5 - 9
• Refining deliverables
• Preparing final presentations",,"• Final project push
• Mentor provides final assessment                     ",,,
Jun 01 – Jun 07,10,"Final Presentations + Wrap-Up
• Project presentations (Week 10 deliverables)",• Structured feedback on projects,"General Club Meeting
+ End-of-term social                                                    Most client handoffs take place over this week","Final 3-way meeting (Maggie + mentor + recruit)
• Feedback on technical & non-technical performance
• Tracking / expectations for next term or summer",,• All projects delivered,,,
